text,label
says the annies list political group supports thirdtrimester abortions on demand,0
health care reform legislation is likely to mandate free sex change surgeries,0
when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,0
women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,0
i dont know who jonathan gruber is,0
isis supporter tweeted at  am shooting began at  am in chattanooga tenn,0
what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,0
in the case of a catastrophic event the atlantaarea offices of the centers for disease control and prevention will selfdestruct,0
says a us supreme court justice suggested that some us cases will be decided based on south african law,0
rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,0
says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe,0
we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster ,0
obamacare will provide insurance to all nonus residents even if they are here illegally,0
president barack obama took exactly none of his own deficit reduction commissions ideas not one,0
it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life,0
says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,0
sen obamas campaign announced that hes choosing his cabinet,0
only  percent of public high schools in the country offer pe classes,0
under mayor cicilline providence was a sanctuary city,0
transgender individuals in the us have a in chance of being murdered,0
says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,0
on whether a us supreme court nominee should be forthcoming at confirmation hearings,0
says charlie crist supports cuts to the medicare advantage program,0
in the past  years egypt has made great strides in political and democratic reform,0
the amount of attention paid this week to chris christie makes the coverage of benghazi  pale in significance,0
austin is burdened by the fastestgrowing tax increases of any major city in the nation,0
phoenix arizona is the no  kidnapping capital of the world,0
the florida department of agricultures website freshfromfloridacom can be used to get a permit to carry a loaded hidden gun without ever leaving your house,0
the atlanta streetcar is expected to create  jobs during construction totaling more than  jobs over the next  years,0
nato is opening up a major terror division  im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,0
of our  teachers who are k over  of those teachers today are over  years old,0
say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the us congress,0
rudy giuliani is probably the most underqualified man since george bush to seek the presidency,0
about half of the presidents have been governors half of them senators,0
the air force wants taxpayers to fund a fantasy football league,0
barack hussein obama will  force courts to accept islamic sharia law in domestic disputes,0
saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado,0
the president said hes going to bring in  syrian and iraqi refugees into this country,0
mr caprio is a career politician who has never worked in the private sector,0
barack obama has never even worked in business,0
says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border,0
in  dan branch tried to expand thirdtrimester abortions in texas,0
