text,label
"Trump promised a crypto revolution. So why is bitcoin crashing? - NPR Trump got elected promising to usher in a crypto revolution. More than a year later, bitcoin's price has come tumbling down. What happened? It wasn't supposed to go this way for the crypto industry.
President Trump got re-elected vowing to make the U.S. ""the crypto capital of the world
.
"" Since he retook office, he has appointed regu… [+4422 chars]",1
"DVDs and public transit: Boycott drives people to ditch Big Tech to protest ICE - NPR A sweeping boycott has begun — targeting tech giants who participants believe are enabling President Trump and his immigration crackdown. In Portland, Ore., Brittany Trahan started buying DVDs rather than paying for Netflix and Apple TV, while Lisa Shannon has been relying on public transit instead of taking an Uber. And in McDonough, … [+7838 chars]",1
"Gold and silver volatility rattles nerves, but not convictions - KITCO The Kitco News Team brings you the latest news, videos, analysis and opinions regarding Precious Metals, Crypto, Mining, World Markets and Global Economy. The Leading News Source in Precious Metals
Kitco NEWS has a diverse team of journalists reporting on the economy, stock markets, commodities, cryptocurrencies, mining and metals with accuracy and ob… [+279 chars]",1
"Dow Jones Tops 50,000 As Apple, Boeing, JPMorgan Flash Buy Signals; Is AI Trade Reviving? - Investor's Business Daily The Nasdaq is below its 50-day line, but AI infrastructure stocks are reviving. Information in Investors Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. … [+1064 chars]",1
"A company that rates news sites says the Trump administration is strangling it - The Washington Post NewsGuard sues Trump’s FTC alleging censorship after Chairman Andrew Ferguson barred a major ad agency from using its ratings NewsGuard, a company that rates the reliability of online news outlets, is suing President Donald Trumps Federal Trade Commission, alleging the agency has tried to drive it out of business because it… [+31 chars]",1
"US announces crackdown on copycat weight-loss drugs - Financial Times Food and Drug Administration targets Hims & Hers after telehealth company undercuts Novo Nordisk on obesity shot was $409now $149 for your first year
Delivery Monday - Saturday, including FT Weekend and FT Digital Edition: all the content of the FT newspaper on any device. Savings based on annual price.
<ul><… [+221 chars]",1
"US launches antitrust review of $83bn Netflix deal for Warner Bros - Financial Times Justice department basing review on legal provisions barring monopolisation and reduced competition was $409now $149 for your first year
Delivery Monday - Saturday, including FT Weekend and FT Digital Edition: all the content of the FT newspaper on any device. Savings based on annual price.
<ul><… [+221 chars]",1
"From Svedka to Anthropic, brands make bold plays with AI in Super Bowl ads - TechCrunch From the first AI-generated Big Game ad courtesy of Svedka to Anthropic's beef with OpenAI, here are the biggest ads from Super Bowl LX. Following last year’s trend of showcasing AI in multimillion-dollar ad spots, the 2026 Super Bowl advertisements took it a step further by leveraging AI both to create the commercials and to promote … [+6123 chars]",1
"Hundreds of Google workers demand firm cuts ties with ICE - BBC More than 900 Google employees signed a letter opposing company links to federal immigration actions. Another Google employee, who identified herself as ""S"", said she came to work for Google about three years ago, but said that had she known then of its work with federal agencies, she would have not … [+11 chars]",1
"Jennifer Garner’s Once Upon a Farm Rises 17% After $198 Million IPO - bloomberg.com Once Upon a Farm PBC, the organic kids snacks maker co-founded by actress Jennifer Garner, jumped 17% in its trading debut Friday after the company and some of its investors raised $197.9 million in an initial public offering. Once Upon a Farm PBC, the organic kids snacks maker co-founded by actress Jennifer Garner, jumped 17% in its trading debut Friday after the company and some of its investors raised $197.9 million in … [+271 chars]",1
"Trump-GOP Law Slashes Amazon's Tax Bill by 87% as Company Fires 30,000 Workers, Profits Soar - Common Dreams ""Congress made a choice: cut assistance for the most vulnerable to double down on a tax code already favoring dominant firms,"" said one progressive think tank. The tax law that congressional Republicans and US President Donald Trump enacted last summer has proved to be a massive boon for Amazon, slashing the corporate behemoth's 2025 tax bill even as its pr… [+2842 chars]",1
Chip Stocks Soar as Nvidia CEO Huang Says Demand Is 'Through the Roof' - Investopedia America's biggest cloud giants are doubling down on their investments in AI hardware. That hasn't helped their shares lately—but chipmakers are getting a lift as orders keep rolling in. <ul><li>Nvidia and other semiconductor stocks rallied Friday after Amazon followed cloud peers with a massive AI spending forecast.</li><li>Nvidia CEO Jensen Huang told CNBC Friday that demand has be… [+1884 chars],1
CFTC Staff Reissues Letter 25-40 Updating Payment Stablecoin Definition - Commodity Futures Trading Commission | CFTC (.gov) The Commodity Futures Trading Commission’s Market Participants Division today announced it has reissued CFTC Staff Letter 25-40 with a limited revision to the definition of “payment stablecoin.” WASHINGTONThe Commodity Futures Trading Commissions Market Participants Division today announced it has reissued CFTC Staff Letter 25-40 with a limited revision to the definition of payment stablecoi… [+1486 chars],1
"BART Could End Service at 9PM Nightly If Transit Measure Doesn’t Pass — and These 15 Stations Might Have to Close - SFist The cash-strapped BART system has revealed its ‘doomsday scenario’ of drastic service cuts if a November transit tax measure doesn’t pass, with as many as 15 stations potentially closing, and service stopping at 9 pm every night. The cash-strapped BART system has revealed its doomsday scenario of drastic service cuts if a November transit tax measure doesnt pass, with as many as 15 stations potentially closing, and service st… [+3561 chars]",1
